place,post_label,person_name,party,image_url
as President of the USA,district_of_columbia-at-large,Donald Trump,Republican,
as Vice-President of the USA,district_of_columbia-at-large,JD Vance,Republican,
as senator for Arizona,senate-arizona,Ruben Gallego,Democrat,
as senator for California,senate-california,Adam Schiff,Democrat,
as senator for Connecticut,senate-connecticut,Chris Murphy,Democrat,
as senator for Delaware,senate-delaware,Lisa Blunt Rochester,Democrat,
as senator for Florida,senate-florida,Rick Scott,Republican,
as senator for Hawaii,senate-hawaii,Mazie Hirono,Democrat,
as senator for Indiana,senate-indiana,Jim Banks,Republican,
as senator for Maine,senate-maine,Angus King,Independent,
as senator for Maryland,senate-maryland,Angela Alsobrooks,Democrat,
as senator for Massachusetts,senate-massachusetts,Elizabeth Warren,Democrat,
as senator for Michigan,senate-michigan,Elissa Slotkin,Democrat,
as senator for Minnesota,senate-minnesota,Amy Klobuchar,Democrat,
as senator for Mississippi,senate-mississippi,Roger Wicker,Republican,
as senator for Missouri,senate-missouri,Josh Hawley,Republican,
as senator for Montana,senate-montana,Tim Sheehy,Republican,
as senator for Nebraska,senate-nebraska-1,Deb Fischer,Republican,
as senator for Nebraska,senate-nebraska-2,Pete Ricketts,Republican,
as senator for Nevada,senate-nevada,Jacky Rosen,Democrat,
as senator for New Jersey,senate-new_jersey,Andy Kim,Democrat,
as senator for New Mexico,senate-new_mexico,Martin Heinrich,Democrat,
as senator for New York,senate-new_york,Kirsten Gillibrand,Democrat,
as senator for North Dakota,senate-north_dakota,Kevin Cramer,Republican,
as senator for Ohio,senate-ohio,Bernie Moreno,Republican,
as senator for Pennsylvania,senate-pennsylvania,Dave McCormick,Democrat,
as senator for Rhode Island,senate-rhode_island,Sheldon Whitehouse,Democrat,
as senator for Tennessee,senate-tennessee,Marsha Blackburn,Republican,
as senator for Texas,senate-texas,Ted Cruz,Republican,
as senator for Utah,senate-utah,John Curtis,Republican,
as senator for Vermont,senate-vermont,Bernie Sanders,Independent,
as senator for Virginia,senate-virginia,Tim Kaine,Democrat,
as senator for Washington,senate-washington,Maria Cantwell,Democrat,
as senator for West Virginia,senate-west_virginia,Jim Justice,Republican,
as senator for Wisconsin,senate-wisconsin,Tammy Baldwin,Democrat,
as senator for Wyoming,senate-wyoming,John Barrasso,Republican,
House 1: Alabama,alabama-1,Barry Moore,Republican,
House 2: Alabama,alabama-2,Shomari Figures,Democrat,
House 3: Alabama,alabama-3,Mike Rogers,Republican,
House 4: Alabama,alabama-4,Robert Aderholt,Republican,
House 5: Alabama,alabama-5,Dale Strong,Republican,
House 6: Alabama,alabama-6,Gary Palmer,Republican,
House 7: Alabama,alabama-7,Terri Sewell,Democrat,
House At Large: Alaska,alaska-at-large,Nick Begich,Republican,
House 1: Arizona,arizona-1,David Schweikert,Republican,
House 2: Arizona,arizona-2,Eli Crane,Republican,
House 3: Arizona,arizona-3,Yassamin Ansari,Democrat,
House 4: Arizona,arizona-4,Greg Stanton,Democrat,
House 5: Arizona,arizona-5,Andy Biggs,Republican,
House 6: Arizona,arizona-6,Juan Ciscomani,Republican,
House 7: Arizona,arizona-7,Raúl Grijalva,Democrat,
House 8: Arizona,arizona-8,Abe Hamadeh,Republican,
House 9: Arizona,arizona-9,Paul Gosar,Republican,
House 1: Arkansas,arkansas-1,Rick Crawford,Republican,
House 2: Arkansas,arkansas-2,French Hill,Republican,
House 3: Arkansas,arkansas-3,Steve Womack,Republican,
House 4: Arkansas,arkansas-4,Bruce Westerman,Republican,
House 1: California,california-1,Doug LaMalfa,Republican,
House 2: California,california-2,Jared Huffman,Democrat,
House 3: California,california-3,Kevin Kiley,Republican,
House 4: California,california-4,Mike Thompson,Democrat,
House 5: California,california-5,Tom McClintock,Republican,
House 6: California,california-6,Ami Bera,Democrat,
House 7: California,california-7,Doris Matsui,Democrat,
House 8: California,california-8,John Garamendi,Democrat,
House 9: California,california-9,Josh Harder,Democrat,
House 10: California,california-10,Mark DeSaulnier,Democrat,
House 11: California,california-11,Nancy Pelosi,Democrat,
House 12: California,california-12,Lateefah Simon,Democrat,
House 13: California,california-13,Adam Gray,Democrat,
House 14: California,california-14,Eric Swalwell,Democrat,
House 15: California,california-15,Kevin Mullin,Democrat,
House 16: California,california-16,Sam Liccardo,Democrat,
House 17: California,california-17,Ro Khanna,Democrat,
House 18: California,california-18,Zoe Lofgren,Democrat,
House 19: California,california-19,Jimmy Panetta,Democrat,
House 20: California,california-20,Vince Fong,Republican,
House 21: California,california-21,Jim Costa,Democrat,
House 22: California,california-22,David Valadao,Republican,
House 23: California,california-23,Jay Obernolte,Republican,
House 24: California,california-24,Salud Carbajal,Democrat,
House 25: California,california-25,Raul Ruiz,Democrat,
House 26: California,california-26,Julia Brownley,Democrat,
House 27: California,california-27,George Whitesides,Democrat,
House 28: California,california-28,Judy Chu,Democrat,
House 29: California,california-29,Luz Rivas,Democrat,
House 30: California,california-30,Laura Friedman,Democrat,
House 31: California,california-31,Gil Cisneros,Democrat,
House 32: California,california-32,Brad Sherman,Democrat,
House 33: California,california-33,Pete Aguilar,Democrat,
House 34: California,california-34,Jimmy Gomez,Democrat,
House 35: California,california-35,Norma Torres,Democrat,
House 36: California,california-36,Ted Lieu,Democrat,
House 37: California,california-37,Sydney Kamiager-Dove,Democrat,
House 38: California,california-38,Linda Sanchez,Democrat,
House 39: California,california-39,Mark Takano,Democrat,
House 40: California,california-40,Young Kim,Republican,
House 41: California,california-41,Ken Calvert,Republican,
House 42: California,california-42,Robert Garcia,Democrat,
House 43: California,california-43,Maxine Waters,Democrat,
House 44: California,california-44,Nanette Barragan,Democrat,
House 45: California,california-45,Derek Tran ,Democrat,
House 46: California,california-46,Lou Correa,Democrat,
