post_label,name
alaska-at-large,AK-AL
alabama-1,AL-01
alabama-2,AL-02
alabama-3,AL-03
alabama-4,AL-04
alabama-5,AL-05
alabama-6,AL-06
alabama-7,AL-07
arkansas-1,AR-01
arkansas-2,AR-02
arkansas-3,AR-03
arkansas-4,AR-04
american_samoa-at-large,AS-01
governor_of_american_samoa,AS-GOV
arizona-1,AZ-01
arizona-2,AZ-02
arizona-3,AZ-03
arizona-4,AZ-04
arizona-5,AZ-05
arizona-6,AZ-06
arizona-7,AZ-07
arizona-8,AZ-08
arizona-9,AZ-09
senate-arizona,AZ-SEN
california-1,CA-01
california-2,CA-02
california-3,CA-03
california-4,CA-04
california-5,CA-05
california-6,CA-06
california-7,CA-07
california-8,CA-08
california-9,CA-09
california-10,CA-10
california-11,CA-11
california-12,CA-12
california-13,CA-13
california-14,CA-14
california-15,CA-15
california-16,CA-16
california-17,CA-17
california-18,CA-18
california-19,CA-19
california-20,CA-20
california-21,CA-21
california-22,CA-22
california-23,CA-23
california-24,CA-24
california-25,CA-25
california-26,CA-26
california-27,CA-27
california-28,CA-28
california-29,CA-29
california-30,CA-30
california-31,CA-31
california-32,CA-32
california-33,CA-33
california-34,CA-34
california-35,CA-35
california-36,CA-36
california-37,CA-37
california-38,CA-38
california-39,CA-39
california-40,CA-40
california-41,CA-41
california-42,CA-42
california-43,CA-43
california-44,CA-44
california-45,CA-45
california-46,CA-46
california-47,CA-47
california-48,CA-48
california-49,CA-49
california-50,CA-50
california-51,CA-51
california-52,CA-52
senate-california,CA-SEN
colorado-1,CO-01
colorado-2,CO-02
colorado-3,CO-03
colorado-4,CO-04
colorado-5,CO-05
colorado-6,CO-06
colorado-7,CO-07
colorado-8,CO-08
connecticut-1,CT-01
connecticut-2,CT-02
connecticut-3,CT-03
connecticut-4,CT-04
connecticut-5,CT-05
senate-connecticut,CT-SEN
district_of_columbia-at-large,DC-01
delaware-at-large,DE-AL
governor_of_delaware,DE-GOV
senate-delaware,DE-SEN
florida-1,FL-01
florida-2,FL-02
florida-3,FL-03
florida-4,FL-04
